,Territory,Inventory Name,Total_revenue,ABC_revenue,Product_Margin,ABC_Margin_mode,ABC(Rev-Mar),total_revenue,CoV,std_dev,average_revenue,Territory_XYZ,ABC_XYZ
5856,Makindye,Softcare Diapers Highcounts Pants 40PC Large,3811864.3400000003,C,0.1588909348465804,A,CA,3811864.3400000003,1.7326145090045308,600408.3147128164,346533.1218181818,Z,CAZ
5857,Makindye,PK Juicy fruit 4P,3801355.52,C,0.07690324216009987,A,CA,3801355.52,1.1254161394358675,388918.804903784,345577.77454545454,Z,CAZ
5858,Makindye,Jjimu  Maize Flour 25Kg,3511500.0,C,0.0410958904109589,B,CB,3511500.0,0.9858992895500462,314725.941386817,319227.2727272727,Y,CBY
5859,Makindye,Mirinda Fruity Soda 500ml,3495761.71,C,0.033332651555319295,B,CB,3495761.7100000004,0.8972847980127393,285153.98544163804,317796.5190909091,Y,CBY
5860,Makindye,Movit Herbal Jelly 50g,3440678.45,C,0.04732220144111681,B,CB,3440678.4499999997,0.6657458944722776,208237.95929879448,312788.94999999995,Y,CBY
5861,Makindye,Classic UHT Milk 24X500ML,3357500.0,C,0.03529411764705882,B,CB,3357500.0,1.5477860718079484,472426.52146319876,305227.2727272727,Z,CBZ
5862,Makindye,Mirinda Green Apple Soda 2L,3352543.06,C,0.08695674480145983,A,CA,3352543.06,1.2864901033577743,392092.1334337081,304776.64181818184,Z,CAZ
5863,Makindye,Best Fry Cooking Oil 10L,3349999.9400000004,C,0.03358209612385854,B,CB,3349999.94,1.831057670282091,557640.2805074132,304545.4490909091,Z,CBZ
5864,Makindye,Ntake White Star Bar Soap 10 x 1Kg,3298305.21,C,0.028712160602513064,C,CC,3298305.21,1.6336552154219433,489844.86439726065,299845.92818181816,Z,CCZ
5865,Makindye,Mountain Dew  Soda 2L,3294068.44,C,0.08695674480145983,A,CA,3294068.4400000004,0.8224255858554529,246284.1969649962,299460.76727272733,Y,CAY
5866,Makindye,Royco Mchuzi Mix Beef PC Ground Spices 200g,3283051.15,C,0.11799994808002284,A,CA,3283051.1499999994,0.5691524116260588,169868.77086492773,298459.1954545454,Y,CAY
5867,Makindye,Stoney Soda 500ML,3246355.8000000003,C,0.030201661186398842,B,CB,3246355.8,1.2655357495265531,373489.0291438975,295123.2545454545,Z,CBZ
5868,Makindye,Movit Baby Jelly 50g,3241525.32,C,0.06879966620158927,B,CB,3241525.32,0.7443552082032637,219349.65949679556,294684.12,Y,CBY
5869,Makindye,Kamuli Brown Sugar 25Kg,3234745.6999999997,C,0.0547938248655882,B,CB,3234745.7,2.2589818369120325,664293.7984844818,294067.79090909095,Z,CBZ
5870,Makindye,Riham Coffee Malt Soda 320Ml,3194915.49,C,0.05384611893491403,B,CB,3194915.49,1.9128130423140177,555570.5471239164,290446.86272727273,Z,CBZ
